company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,gender,Education
Amazon,Software Engineer,200000,"Seattle, WA",5,1,NA,Master's Degree
Uber,Software Engineer,400000,"Seattle, WA",10,5,Male,PhD
Cisco,Software Engineer,195000,"San Jose, CA",8,8,Male,Master's Degree
Intel,Hardware Engineer,278000,"Santa Clara, CA",28,19,Male,Master's Degree
Google,Product Manager,190000,"Mountain View, CA",4,0,Male,Master's Degree
Apple,Software Engineer,354000,"Pittsburgh, PA",8,3,Male,Master's Degree
Qualcomm,Software Engineer,139000,"San Diego, CA",3,2,NA,Master's Degree
Google,Software Engineer,194000,"Sunnyvale, CA",1,1,Male,Master's Degree
Google,Software Engineer,336000,"Cambridge, MA",9,3,Male,Master's Degree
VMware,Software Engineer,190000,"Palo Alto, CA",8,5,Male,Master's Degree
Google,Software Engineer,402000,"New York, NY",6,6,Male,PhD
Microsoft,Data Scientist,144000,"Redmond, WA",1,1,Male,PhD
Facebook,Software Engineer,274000,"Menlo Park, CA",6,0,NA,Master's Degree
Walmart Labs,Software Engineer,220000,"Sunnyvale, CA",4,2,Male,Master's Degree
Google,Software Engineer,255000,"Mountain View, CA",1,1,Male,PhD
Google,Product Manager,394000,"Mountain View, CA",15,4,Male,Master's Degree
Microsoft,Software Engineer,161000,"Seattle, WA",4,1.5,Male,Master's Degree
Google,Software Engineer,268000,"New York, NY",3,3,Female,Master's Degree
Qualcomm,Software Engineer,291000,"San Diego, CA",11,8.5,Male,Master's Degree
Google,Software Engineer,307000,"Mountain View, CA",3,3,Male,Master's Degree
Uber,Data Scientist,180000,"San Francisco, CA",6,1,Male,Master's Degree
Intel,Hardware Engineer,190000,"Boston, MA",10,4,Male,Master's Degree
Google,Software Engineer,230000,"Sunnyvale, CA",1,1,NA,Master's Degree
Amazon,Software Engineer,165000,"Herndon, VA",5,0,Male,Master's Degree
Amazon,Software Engineer,280000,"San Francisco, CA",3,0,Male,Master's Degree
Walmart Labs,Software Engineering Manager,189000,"Bangalore, KA, India",14,3,Male,Master's Degree
Oracle,Software Engineer,212000,"Redwood City, CA",1,1,Male,Master's Degree
Salesforce,Software Engineer,619000,"San Francisco, CA",23,1,Female,Master's Degree
Microsoft,Software Engineer,178000,"Sunnyvale, CA",5,1,NA,Master's Degree
Google,Software Engineer,345000,"Kirkland, WA",10,5,Male,PhD
Google,Product Designer,210000,"Chicago, IL",7,2,Male,Master's Degree
Uber,Software Engineer,450000,"San Francisco, CA",15,4,Male,Master's Degree
Amazon,Software Engineer,165000,"Seattle, WA",3,0,Male,Master's Degree
Intel,Hardware Engineer,190000,"Santa Clara, CA",7,3,Male,Master's Degree
Amazon,Software Engineer,142000,"Seattle, WA",0,0,Male,Master's Degree
Expedia,Software Engineer,97000,"Chicago, IL",2,1,Male,Master's Degree
Google,Software Engineering Manager,542000,"Venice, CA",23,3,Male,Master's Degree
Facebook,Product Designer,332000,"Menlo Park, CA",15,3,Male,Master's Degree
eBay,Software Engineer,285000,"San Jose, CA",19,8,Male,Master's Degree
Facebook,Software Engineer,370000,"Menlo Park, CA",7,1,Male,Master's Degree
Google,Software Engineer,211000,"Mountain View, CA",3,1,Male,Master's Degree
Amazon,Software Engineer,158000,"Vancouver, BC, Canada",4,2,Male,Master's Degree
VMware,Software Engineer,156000,"Boston, MA",1,1,Male,Master's Degree
Microsoft,Software Engineer,202000,"Redmond, WA",4,4,Male,Master's Degree
Amazon,Software Engineer,221000,"Seattle, WA",9,2,Male,Master's Degree
Facebook,Software Engineer,148000,"London, EN, United Kingdom",6,0,Male,Master's Degree
Google,Software Engineer,206000,"New York, NY",2,2,Male,PhD
Amazon,Software Engineer,300000,"Minneapolis, MN",7,7,NA,Master's Degree
Amazon,Software Engineer,165000,"Arlington, VA",6,0,Male,Master's Degree
Google,Software Engineer,272000,"San Francisco, CA",4,3,Male,Master's Degree
Microsoft,Data Scientist,170000,"Seattle, WA",6,2,Female,Master's Degree
Amazon,Software Engineer,305000,"New York, NY",6,1,Male,Master's Degree
Amazon,Software Engineering Manager,358000,"Tel Aviv, TA, Israel",19,1,Male,Master's Degree
Amazon,Product Manager,295000,"Sunnyvale, CA",12,2,Female,Master's Degree
Amazon,Software Engineer,182000,"Seattle, WA",3,3,Male,Master's Degree
Salesforce,Software Engineer,268000,"San Francisco, CA",6,0,NA,Master's Degree
Intuit,Data Scientist,300000,"Mountain View, CA",7,0,Male,PhD
Amazon,Software Engineering Manager,430000,"Seattle, WA",15,10,Male,Master's Degree
Microsoft,Hardware Engineer,185000,"Redmond, WA",2,0,Male,Master's Degree
Facebook,Software Engineer,273000,"Menlo Park, CA",6,0,Male,Master's Degree
Apple,Hardware Engineer,385000,"Cupertino, CA",11,7,Male,Master's Degree
Microsoft,Software Engineer,159000,"Redmond, WA",0,0,Male,Master's Degree
